stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
O10,O10,中山國小,中和新蘆線,25.062665,121.526609,,,1,,,1,
O11,O11,民權西路,中和新蘆線,25.062350,121.519585,,,1,,,1,
O12,O12,大橋頭,中和新蘆線,25.063220,121.513003,,,1,,,1,
O13,O13,台北橋,中和新蘆線,25.063075,121.500575,,,1,,,1,
O14,O14,菜寮,中和新蘆線,25.059808,121.491451,,,1,,,1,
O15,O15,三重,中和新蘆線,25.055710,121.484220,,,1,,,1,
O16,O16,先嗇宮,中和新蘆線,25.046320,121.471650,,,1,,,1,
O17,O17,頭前庄,中和新蘆線,25.039862,121.460479,,,1,,,1,
O18,O18,新莊,中和新蘆線,25.036080,121.452180,,,1,,,1,
O19,O19,輔大,中和新蘆線,25.032790,121.435735,,,1,,,1,
O20,O20,丹鳳,中和新蘆線,25.029073,121.422422,,,1,,,1,
O21,O21,迴龍,中和新蘆線,25.022107,121.411757,,,1,,,1,
O50,O50,三重國小,中和新蘆線,25.070275,121.497010,,,1,,,1,
O51,O51,三和國中,中和新蘆線,25.076794,121.486455,,,1,,,1,
O52,O52,徐匯中學,中和新蘆線,25.080485,121.479945,,,1,,,1,
O53,O53,三民高中,中和新蘆線,25.085425,121.473365,,,1,,,1,
O54,O54,蘆洲,中和新蘆線,25.091520,121.464710,,,1,,,1,
R02,R02,象山,淡水信義線,25.032816,121.570080,,,1,,,1,
R03,R03,台北101/世貿,淡水信義線,25.033028,121.562755,,,1,,,1,
R04,R04,信義安和,淡水信義線,25.033310,121.552650,,,1,,,1,
R05,R05,大安,淡水信義線,25.033311,121.542370,,,1,,,1,
R06,R06,大安森林公園,淡水信義線,25.033225,121.536151,,,1,,,1,
R07,R07,東門,淡水信義線,25.033894,121.528766,,,1,,,1,
R08,R08,中正紀念堂,淡水信義線,25.032767,121.518273,,,1,,,1,
R09,R09,台大醫院,淡水信義線,25.041399,121.516020,,,1,,,1,
R10,R10,台北車站,淡水信義線,25.046310,121.517415,,,1,,,1,
R11,R11,中山,淡水信義線,25.052621,121.520364,,,1,,,1,
R12,R12,雙連,淡水信義線,25.057575,121.520685,,,1,,,1,
R13,R13,民權西路,淡水信義線,25.062350,121.519585,,,1,,,1,
R14,R14,圓山,淡水信義線,25.071409,121.520074,,,1,,,1,
R15,R15,劍潭,淡水信義線,25.084201,121.524955,,,1,,,1,
R16,R16,士林,淡水信義線,25.093492,121.526230,,,1,,,1,
R17,R17,芝山,淡水信義線,25.102718,121.522546,,,1,,,1,
R18,R18,明德,淡水信義線,25.109815,121.518785,,,1,,,1,
R19,R19,石牌,淡水信義線,25.114455,121.515572,,,1,,,1,
R20,R20,唭哩岸,淡水信義線,25.120852,121.506234,,,1,,,1,
R21,R21,奇岩,淡水信義線,25.125470,121.501140,,,1,,,1,
R22,R22,北投,淡水信義線,25.131819,121.498648,,,1,,,1,
R23,R23,復興崗,淡水信義線,25.137474,121.485457,,,1,,,1,
R24,R24,忠義,淡水信義線,25.131041,121.473293,,,1,,,1,
R25,R25,關渡,淡水信義線,25.125630,121.467100,,,1,,,1,
R26,R26,竹圍,淡水信義線,25.136900,121.459550,,,1,,,1,
R27,R27,紅樹林,淡水信義線,25.153990,121.458800,,,1,,,1,
R28,R28,淡水,淡水信義線,25.167745,121.445805,,,1,,,1,
R22A,R22A,新北投,淡水信義線,25.136931,121.502595,,,1,,,1,
Y07,Y07,大坪林,環狀線,24.982720,121.541340,,,1,,,1,
Y08,Y08,十四張,環狀線,24.984333,121.527698,,,1,,,1,
Y09,Y09,秀朗橋,環狀線,24.990549,121.525051,,,1,,,1,
Y10,Y10,景平,環狀線,24.992143,121.516386,,,1,,,1,
Y11,Y11,景安,環狀線,24.993920,121.505114,,,1,,,1,
Y12,Y12,中和,環狀線,25.002382,121.495978,,,1,,,1,
Y13,Y13,橋和,環狀線,25.004413,121.490461,,,1,,,1,
Y14,Y14,中原,環狀線,25.008410,121.484159,,,1,,,1,
Y15,Y15,板新,環狀線,25.014436,121.472269,,,1,,,1,
Y16,Y16,板橋,環狀線,25.015156,121.464825,,,1,,,1,
Y17,Y17,新埔民生,環狀線,25.026282,121.466831,,,1,,,1,
Y18,Y18,頭前庄,環狀線,25.039862,121.460479,,,1,,,1,
Y19,Y19,幸福,環狀線,25.049984,121.459980,,,1,,,1,
Y20,Y20,新北產業園區,環狀線,25.061548,121.459926,,,1,,,1,
